Method,5pct_F1,10pct_F1,20pct_F1,5pct_AUC,10pct_AUC,20pct_AUC
SVM + TF-IDF,0.7589,0.7849,0.7964,0.8378,0.8612,0.8815
Logistic Regression + TF-IDF,0.7597,0.7763,0.7894,0.8346,0.8521,0.8767
Random Forest + n-gram,0.7384,0.7640,0.7894,0.8119,0.8413,0.8655
RFDT + Linguistic Features,0.6335,0.6657,0.7002,0.6325,0.6654,0.7038
CNN,0.6731,0.7402,0.7600,0.7377,0.8207,0.8404
LSTM,0.6584,0.6851,0.7244,0.7046,0.7496,0.7989
IndoBERT,0.7799,0.8030,0.8285,0.8654,0.8837,0.9095
mBERT,0.6437,0.7173,0.7437,0.7088,0.7919,0.8239
XLM-RoBERTa,0.3799,0.7428,0.7931,0.6925,0.8246,0.8745
IndoBERTweet,0.7780,0.8222,0.8368,0.8649,0.8999,0.9144
Naive Pseudo-labeling,0.7846,0.8088,0.8345,0.8629,0.8917,0.9087
Proposed Hybrid IndoBERT + SSL,0.7946,0.8232,0.8435,0.8685,0.8987,0.9167
